Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
beach_start_b1d354b9		Filler for now, just sets the beach route flag.	game/script/beach.rpy	3	"[what]"
burger_start_8035f5c4	l	Burgers sure sound good, see you there!	game/script/burger.rpy	18	l "[what]"
burger_start_a468436c	n	You arrive a tad late, Lilith already has grabbed herself a seat and waves at you when she sees you.	game/script/burger.rpy	19	n "[what]"
burger_start_b5ee3d30	l	Heya! Almost was scared you wouldn't show up.	game/script/burger.rpy	20	l "[what]"
burger_start_choice1_d21e2b16	n	Lilith chuckles.	game/script/burger.rpy	42	n "[what]"
burger_start_choice1_7a891553	l	Ah, another burger fan!	game/script/burger.rpy	43	l "[what]"
burger_start_choice1_3b78805d	l	We are at the right place I'd say, the burgers here are delicious.	game/script/burger.rpy	44	l "[what]"
burger_start_choice1_054f67fe	l	Did you already know that or is this the first time you've eaten here?	game/script/burger.rpy	45	l "[what]"
burger_beenbeforeXtimes_4ea468f0	l	I'm sure you'll love it here then! Like I've said before, they have really amazing bugers here.	game/script/burger.rpy	65	l "[what]"
burger_beenbeforeXtimes_8c068a15	l	Ah, I hope you liked your previous meal here!	game/script/burger.rpy	69	l "[what]"
burger_beenbeforeXtimes_8e0103e3	l	Ah, you've been here a few times already. Then you surely know how good the burgers are here.	game/script/burger.rpy	74	l "[what]"
burger_beenbeforeXtimes_2c807cb7	l	Wow, you've been here quite a few times already! You must really like it here then, I knew we were on the same wavelength!	game/script/burger.rpy	78	l "[what]"
burger_beenbeforeXtimes_e688792f	l	Wow, you've been here a lot of times! ... Come to think of it, you might have visited this place more than I have.	game/script/burger.rpy	81	l "[what]"
burger_beenbeforeXtimes_4286a6f7	n	Lilith lets out a small giggle.	game/script/burger.rpy	83	n "[what]"
burger_beenbeforeXtimes_e2857a3e	l	So, which burger do you want to pick? I think I'll go for the juicy cheeseburger myself.	game/script/burger.rpy	102	l "[what]"
burger_start_choice2_171fb0c8	l	Awwe, I'm flattered you are so happy to see me. Or is it the burgers you don't want to miss?	game/script/burger.rpy	109	l "[what]"
burger_start_choice2_171de0b6	l	Lilith chuckles slightly.	game/script/burger.rpy	110	l "[what]"
burger_start_choice2_e504729e	l	Sorry, I'm just messing with you.	game/script/burger.rpy	111	l "[what]"
burger_start_choice2_5f117f7d	l	So, what do you want to order of the menu? I think I am going to go with a juicy cheesburger.	game/script/burger.rpy	113	l "[what]"
burger_start_choice3_f7986e7a	l	Now that you mention it, I think I heard something about it on the radio, they said some ghostrider caused the traffic jam.	game/script/burger.rpy	118	l "[what]"
burger_start_choice3_efcc1045	l	Anyway, what do you want to order of the menu? I think I am going to go with a juicy cheesburger.	game/script/burger.rpy	120	l "[what]"
burger_ordering_56bb9a60	n	Lilith and you go to order the burgers. 	game/script/burger.rpy	159	n "[what]"
burger_ordering_d13827be	n	You were expecting having to order them from a screen most fastfood places tend to have but as you looked around you couldn't spot any. Instead Lilith walks to a counter. You decide to follow her.	game/script/burger.rpy	162	n "[what]"
burger_ordering_91436acd	n	An old lady, who you remember is called Rose, smiles at the both of you.	game/script/burger.rpy	165	n "[what]"
burger_ordering_bb6f608f	n	An old lady smiles at the both of you.	game/script/burger.rpy	167	n "[what]"
burger_ordering_de393929	r	Hey Lilith, glad to see you here once more! 	game/script/burger.rpy	170	r "[what]"
